date,day_of_week,is_weekend,kitchen_id,meal_type,category,unit,weather,is_festival,festival_name,promotion_flag,homepage_featured,discount_pct,unit_price,planned_production_qty,actual_consumption_qty,spoilage_qty,surplus_qty,lag_1d_consumption,lag_7d_avg_consumption,lag_14d_avg_consumption,historical_wastage_pct
2025-04-01,Tuesday,0,K1_MainCampus,Breakfast,Beverages,L,Cold,0,,0,0,0,20,214.11,185.17,7.88,21.07,0.0,0.0,0.0,0.0
2025-04-02,Wednesday,0,K1_MainCampus,Breakfast,Beverages,L,Rainy,0,,0,0,0,20,212.28,186.21,6.41,19.66,185.17,185.17,185.17,0.042555489550143114
2025-04-03,Thursday,0,K1_MainCampus,Breakfast,Beverages,L,Hot,0,,0,0,10,20,337.47,264.2,9.03,64.24,186.21,185.69,185.69,0.038478108675749904
2025-04-04,Friday,0,K1_MainCampus,Breakfast,Beverages,L,Rainy,0,,0,0,0,20,218.13,189.98,3.36,24.79,264.2,211.85999999999999,211.85999999999999,0.03669089650398062
2025-04-05,Saturday,1,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,10,20,220.14,185.63,5.75,28.75,189.98,206.39,206.39,0.0323174572411454
2025-04-06,Sunday,1,K1_MainCampus,Breakfast,Beverages,L,Rainy,0,,0,0,0,20,198.26,168.7,5.32,24.23,185.63,202.238,202.238,0.03207112412108506
2025-04-07,Monday,0,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,1,0,15,20,338.8,270.5,13.12,55.18,168.7,196.6483333333333,196.6483333333333,0.03199450796260669
2025-04-08,Tuesday,0,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,15,20,271.52,235.04,11.54,24.94,270.5,207.1985714285714,207.1985714285714,0.03507332510566124
2025-04-09,Wednesday,0,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,0,20,245.69,200.02,4.37,41.3,235.04,214.32285714285715,210.67875,0.037029126098384386
2025-04-10,Thursday,0,K1_MainCampus,Breakfast,Beverages,L,Rainy,0,,0,0,0,20,239.66,195.23,8.56,35.87,200.02,216.2957142857143,209.49444444444444,0.03541860033413774
2025-04-11,Friday,0,K1_MainCampus,Breakfast,Beverages,L,Rainy,0,,0,0,0,20,256.12,201.43,9.24,45.45,195.23,206.44285714285715,208.06799999999998,0.03620931618509334
2025-04-12,Saturday,1,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,5,20,251.77,207.26,6.34,38.17,201.43,208.07857142857142,207.46454545454546,0.03706219244471125
2025-04-13,Sunday,1,K1_MainCampus,Breakfast,Beverages,L,Cloudy,0,,0,0,0,20,209.43,170.77,7.99,30.67,207.26,211.1685714285714,207.4475,0.036523297059095274
2025-04-14,Monday,0,K1_MainCampus,Breakfast,Beverages,L,Hot,0,,1,0,0,20,415.84,343.74,5.8,66.29,170.77,211.46428571428572,204.62615384615384,0.037182253565601814
2025-04-15,Tuesday,0,K1_MainCampus,Breakfast,Beverages,L,Hot,0,,0,0,0,20,315.84,259.54,4.03,52.27,343.74,221.92714285714288,214.56285714285715,0.03485824999667097
2025-04-16,Wednesday,0,K1_MainCampus,Breakfast,Beverages,L,Rainy,0,,0,0,10,20,291.66,230.94,4.47,56.25,259.54,225.42714285714285,219.875,0.032765369934215874
2025-04-17,Thursday,0,K1_MainCampus,Breakfast,Beverages,L,Hot,0,,0,0,0,20,272.12,231.67,8.47,31.98,230.94,229.8442857142857,223.07,0.03167487463896663
2025-04-18,Friday,0,K1_MainCampus,Breakfast,Beverages,L,Hot,0,,0,0,0,20,287.58,249.98,4.3,33.3,231.67,235.04999999999998,220.7464285714286,0.03182708019867656
2025-04-19,Saturday,1,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,15,20,222.66,178.06,2.83,41.76,249.98,241.9857142857143,225.03214285714284,0.03151930676570014
2025-04-20,Sunday,1,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,1,0,10,20,282.49,228.04,10.37,44.07,178.06,237.81428571428572,224.49142857142857,0.030666140609886476
2025-04-21,Monday,0,K1_MainCampus,Breakfast,Beverages,L,Rainy,0,,0,0,0,20,212.31,166.58,8.24,37.5,228.04,245.99571428571426,228.73000000000002,0.03167490053775193
2025-04-22,Tuesday,0,K1_MainCampus,Breakfast,Beverages,L,Rainy,0,,0,0,10,20,281.12,234.26,9.97,36.88,166.58,220.68714285714287,221.30714285714288,0.03116225026627505
2025-04-23,Wednesday,0,K1_MainCampus,Breakfast,Beverages,L,Hot,0,,1,0,0,20,380.26,303.8,18.89,57.57,234.26,217.07571428571427,221.25142857142856,0.030663240269635066
2025-04-24,Thursday,0,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,1,10,20,297.83,250.99,5.9,40.94,303.8,227.48428571428573,228.66428571428574,0.03420485427794958
2025-04-25,Friday,0,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,0,20,233.9,203.53,11.17,19.21,250.99,230.24428571428572,232.64714285714288,0.03280258883778622
2025-04-26,Saturday,1,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,0,20,205.56,182.58,4.55,18.43,203.53,223.60857142857142,232.79714285714286,0.03337363001509592
2025-04-27,Sunday,1,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,5,20,204.95,170.66,6.84,27.45,182.58,224.25428571428574,231.03428571428572,0.03307486829413074
2025-04-28,Monday,0,K1_MainCampus,Breakfast,Beverages,L,Hot,0,,0,0,0,20,296.52,235.54,4.17,56.81,170.66,216.05714285714288,231.0264285714286,0.0327204370557481
2025-04-29,Tuesday,0,K1_MainCampus,Breakfast,Beverages,L,Hot,0,,0,1,0,20,338.14,297.75,13.33,27.07,235.54,225.9085714285714,223.29785714285714,0.03333152067865791
2025-04-30,Wednesday,0,K1_MainCampus,Breakfast,Beverages,L,Hot,0,,0,0,5,20,301.15,255.02,8.75,37.39,297.75,234.97857142857143,226.02714285714288,0.035868005738880916
2025-05-01,Thursday,0,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,10,20,275.58,220.69,3.41,51.48,255.02,228.01,227.74714285714285,0.036939462938220965
2025-05-02,Friday,0,K1_MainCampus,Breakfast,Beverages,L,Rainy,0,,0,0,0,20,228.21,202.19,2.94,23.09,220.69,223.68142857142857,226.96285714285713,0.0354746528695696
2025-05-03,Saturday,1,K1_MainCampus,Breakfast,Beverages,L,Cloudy,0,,0,0,0,20,201.5,168.02,2.04,31.44,202.19,223.49,223.54928571428567,0.03558179883630648
2025-05-04,Sunday,1,K1_MainCampus,Breakfast,Beverages,L,Cloudy,0,,1,0,10,20,249.08,216.73,6.02,26.33,168.02,221.41,222.83214285714283,0.03544307855047842
2025-05-05,Monday,0,K1_MainCampus,Breakfast,Beverages,L,Cloudy,0,,0,0,0,20,252.01,205.69,9.0,37.32,216.73,227.99142857142857,222.0242857142857,0.034172580863097345
2025-05-06,Tuesday,0,K1_MainCampus,Breakfast,Beverages,L,Cold,0,,0,0,0,20,248.15,200.75,2.49,44.91,205.69,223.72714285714287,224.81785714285712,0.03398942000667207
2025-05-07,Wednesday,0,K1_MainCampus,Breakfast,Beverages,L,Cloudy,0,,0,1,0,20,264.86,223.47,6.19,35.2,200.75,209.87000000000003,222.42428571428573,0.03195308837036038
2025-05-08,Thursday,0,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,10,20,248.45,209.4,11.07,27.98,223.47,205.36285714285714,216.6864285714286,0.02861277487877479
2025-05-09,Friday,0,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,0,20,263.75,211.57,8.97,43.21,209.4,203.75,213.71571428571428,0.030738430892841624
2025-05-10,Saturday,1,K1_MainCampus,Breakfast,Beverages,L,Cold,0,,0,0,15,20,265.26,215.47,3.8,45.99,211.57,205.08999999999997,214.29,0.029922734878635768
2025-05-11,Sunday,1,K1_MainCampus,Breakfast,Beverages,L,Hot,0,,0,0,0,20,256.97,201.27,2.91,52.79,215.47,211.8685714285714,216.63928571428573,0.029350961934749994
2025-05-12,Monday,0,K1_MainCampus,Breakfast,Beverages,L,Rainy,0,,0,0,0,20,242.58,211.6,5.35,25.64,201.27,209.66,218.82571428571427,0.02777487628771756
2025-05-13,Tuesday,0,K1_MainCampus,Breakfast,Beverages,L,Cloudy,0,,0,0,5,20,285.07,225.65,10.55,48.87,211.6,210.50428571428571,217.1157142857143,0.02838183720333463
2025-05-14,Wednesday,0,K1_MainCampus,Breakfast,Beverages,L,Hot,0,,0,0,0,20,271.19,230.31,9.3,31.58,225.65,214.06142857142854,211.96571428571428,0.028134603979080172
2025-05-15,Thursday,0,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,15,20,259.11,213.41,10.83,34.86,230.31,215.03857142857146,210.20071428571427,0.028557739031741775
2025-05-16,Friday,0,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,0,20,263.99,211.28,9.21,43.5,213.41,215.61142857142858,209.68071428571426,0.031156213699059455
2025-05-17,Saturday,1,K1_MainCampus,Breakfast,Beverages,L,Sunny,0,,0,0,0,20,229.96,191.07,2.61,36.27,211.28,215.57,210.33,0.03318934191848184
